language1,language2,paradigm1,paradigm2,common_actors
Java,Dart,oob,oob,8
Java,Go,oob,multi,152
Java,Swift,oob,multi,81
Java,Scala,oob,multi,131
Java,R,oob,multi,23
Java,Rust,oob,multi,23
Java,Perl,oob,multi,19
Java,Lua,oob,multi,10
Java,CoffeeScript,oob,multi,13
Java,Matlab,oob,multi,9
Java,Julia,oob,multi,1
Java,Visual Basic,oob,multi,6
Java,D,oob,multi,1
Java,F#,oob,multi,0
Java,Assembly,oob,machine,6
Java,C,oob,imperative,174
Java,Arduino,oob,imperative,6
Java,Fortran,oob,imperative,4
Java,Elixir,oob,functional,9
Java,Groovy,oob,functional,113
Java,Haskell,oob,functional,9
Java,Clojure,oob,functional,24
Java,Erlang,oob,functional,8
Java,OCaml,oob,functional,4
Java,Common Lisp,oob,functional,0
Java,HTML,oob,declarative,572
Java,CSS,oob,declarative,287
Java,XSLT,oob,declarative,30
Java,Elm,oob,declarative,1
Java,PLpgSQL,oob,declarative,12
Java,Nix,oob,declarative,1
Ruby,Roff,oob,undefined,4
Ruby,SaltStack,oob,undefined,12
Ruby,Vala,oob,undefined,0
Ruby,Shell,oob,scripted,325
Ruby,PowerShell,oob,scripted,17
Ruby,Vim script,oob,scripted,23
Ruby,Emacs Lisp,oob,scripted,16
Ruby,Batchfile,oob,scripted,1
Ruby,PHP,oob,procedural,157
Ruby,C++,oob,procedural,64
Ruby,JavaScript,oob,oob,966
Ruby,Python,oob,oob,344
Ruby,Java,oob,oob,192
Ruby,Ruby,oob,oob,9557
Ruby,C#,oob,oob,45
Ruby,TypeScript,oob,oob,64
Ruby,Objective-C,oob,oob,49
Ruby,Jupyter Notebook,oob,oob,6
Ruby,Kotlin,oob,oob,10
Ruby,Dart,oob,oob,3
Ruby,Go,oob,multi,183
Ruby,Swift,oob,multi,50
Ruby,Scala,oob,multi,21
Ruby,R,oob,multi,8
Ruby,Rust,oob,multi,28
Ruby,Perl,oob,multi,18
Ruby,Lua,oob,multi,7
Ruby,CoffeeScript,oob,multi,45
Ruby,Matlab,oob,multi,2
Ruby,Julia,oob,multi,2
Ruby,Visual Basic,oob,multi,1
Ruby,D,oob,multi,1
Ruby,F#,oob,multi,3
Ruby,Assembly,oob,machine,1
Ruby,C,oob,imperative,92
Ruby,Arduino,oob,imperative,1
Ruby,Fortran,oob,imperative,0
Ruby,Elixir,oob,functional,56
Ruby,Groovy,oob,functional,24
Ruby,Haskell,oob,functional,13
Ruby,Clojure,oob,functional,16
Ruby,Erlang,oob,functional,10
Ruby,OCaml,oob,functional,5
Ruby,Common Lisp,oob,functional,1
Ruby,HTML,oob,declarative,630
Ruby,CSS,oob,declarative,372
Ruby,XSLT,oob,declarative,18
Ruby,Elm,oob,declarative,4
Ruby,PLpgSQL,oob,declarative,4
Ruby,Nix,oob,declarative,3
C#,Roff,oob,undefined,2
C#,SaltStack,oob,undefined,0
C#,Vala,oob,undefined,0
C#,Shell,oob,scripted,39
C#,PowerShell,oob,scripted,70
C#,Vim script,oob,scripted,2
C#,Emacs Lisp,oob,scripted,2
C#,Batchfile,oob,scripted,8
C#,PHP,oob,procedural,59
C#,C++,oob,procedural,111
C#,JavaScript,oob,oob,328
C#,Python,oob,oob,110
C#,Java,oob,oob,133
C#,Ruby,oob,oob,45
C#,C#,oob,oob,5911
C#,TypeScript,oob,oob,113
C#,Objective-C,oob,oob,23
C#,Jupyter Notebook,oob,oob,7
C#,Kotlin,oob,oob,4
C#,Dart,oob,oob,1
C#,Go,oob,multi,36
C#,Swift,oob,multi,13
C#,Scala,oob,multi,10
C#,R,oob,multi,4
C#,Rust,oob,multi,6
C#,Perl,oob,multi,11
C#,Lua,oob,multi,11
C#,CoffeeScript,oob,multi,6
C#,Matlab,oob,multi,1
C#,Julia,oob,multi,2
C#,Visual Basic,oob,multi,11
C#,D,oob,multi,1
C#,F#,oob,multi,19
C#,Assembly,oob,machine,2
C#,C,oob,imperative,49
C#,Arduino,oob,imperative,2
C#,Fortran,oob,imperative,0
C#,Elixir,oob,functional,4
C#,Groovy,oob,functional,9
C#,Haskell,oob,functional,4
C#,Clojure,oob,functional,1
C#,Erlang,oob,functional,3
C#,OCaml,oob,functional,3
C#,Common Lisp,oob,functional,0
